U.S. State,rate_residence_1988,rate_residence_1992,rate_residence_1996,rate_residence_2000,rate_residence_2005,rate_residence_2006,rate_residence_2007,rate_residence_2008,rate_residence_2009,rate_residence_2010,rate_residence_2011,rate_residence_2012,rate_residence_2013,rate_residence_2014,rate_residence_2015,rate_residence_2016,rate_residence_2017
Alabama,21.3,18.4,15.3,13.5,11.4,11.5,11.6,11.5,10.9,10.4,10,9.3,8.6,8.7,8.5,8.3,8.1
Alaska,19.8,19.5,16,13.5,15,14.5,14.1,13.9,14.3,14.7,14,12.9,11.8,11.1,10.5,9.9,9.7
Arizona,27,24.2,20,16.9,16.5,15.4,14.4,15.7,13.8,12,12.8,11.7,10.7,10.1,10.3,10.5,9.8
Arkansas,15,16.4,12.1,10.4,9.2,9.6,10,10,9.9,9.6,9.1,8.7,8.3,7.5,6.8,6.2,6.4
California,44.9,41.7,32.9,31.1,26.5,27.4,28.3,27.1,25.6,24,22.4,21.4,20.5,19.5,18.4,17.3,16.3
Colorado,21.6,21.9,18.1,13.3,14.9,15,15.1,14.7,14,13.4,12.6,11.7,10.9,10.9,10.3,9.8,9.7
Connecticut,31,26.5,22.4,21.4,24.4,24.9,25.3,24.6,23.5,22.4,21.2,20.2,19.5,19.5,18.9,18.2,17.8
Delaware,28.9,28.1,17.4,22.5,23.2,27.9,32.5,31.4,30.7,30,26.2,22.4,18.6,17.8,16.9,16.1,15.5
District of Columbia,79.3,68.9,38.1,40,44.4,40.1,36.2,38.4,31.6,24.9,20.3,20.8,21.4,21.4,18.4,15.6,21.1
Florida,28.3,26.8,29.4,29.7,24.3,24.4,24.8,24.1,23.6,23,22.3,21.2,20.2,19.7,18.6,17.5,17.9
Georgia,22.2,23.9,19.6,16.9,16.1,16.1,16.4,19,18,16.9,16.6,16.1,15.6,14.8,15,15.2,15.2
Hawaii,43.6,46,26.5,22.2,20.6,21,21.8,21.7,21.4,21,20.9,18.4,15.9,14,12.6,11.7,12.1
Idaho,12.7,10.2,9.2,9.9,8.7,9.1,9.5,8.5,8.1,7.9,7.6,6.8,5.9,5.7,5.6,5.5,5.4
Illinois,27,24.5,24.4,21.3,18.1,18.2,18.3,19.5,17.8,16.1,16.1,16.1,15.9,15.5,15.1,14.7,14.9
Indiana,16.2,16,13.7,11.4,10.1,9.8,9.6,9.5,9.3,9,8.3,7.9,7.7,7.8,7.9,7.9,7.9
Iowa,17.1,12.2,9.9,10.3,10.4,10.9,11.5,10.6,10.4,10.1,9.4,8.3,7.1,6.7,6.8,6.9,6.2
Kansas,13,12.7,12.1,11.2,10,10.2,10.3,10.2,8.7,7.2,7,7,7,6.8,6.5,6.3,6.3
Kentucky,11.6,11.2,8.8,7.6,7,7,7.1,7.4,7.2,7,6.8,6.4,6.1,6.1,5.8,5.5,5.6
Louisiana,16.7,11.7,12.8,11.3,10.5,12.4,13.7,15.3,14,12.6,12.1,11.2,10.3,10.2,10.5,10.7,10
Maine,14.6,15.1,12.4,10.9,10.9,11.4,12,11.9,11.5,10.9,10.1,10.1,10.1,10.2,9.6,9,8.9
Maryland,34.9,33.1,31,32.5,29.2,26.5,23.9,23.7,24.9,25.9,26.9,24.7,22.6,22.1,21.8,21.7,22.7
Massachusetts,29.6,28.7,28.1,21,20.2,19.9,19.5,19,18.6,18.3,18,16.8,15.5,15.5,14.8,14.1,13.6
Michigan,28.2,24.6,21.5,21.2,19.3,18.4,17.8,18.3,17.2,16.1,15.4,15.1,15,14.9,14.5,14.1,13.9
Minnesota,17,14.5,13.1,12.9,12.5,12.6,12.7,11.9,11.2,10.6,10.2,9.7,9.1,8.8,8.9,9.1,9.5
Mississippi,10.8,14.5,14.3,14.3,12.8,12.9,12.9,13.5,12.6,11.7,11.1,10.4,9.7,9.2,8.8,8.6,8.3
Missouri,20.5,16.9,13.4,14.4,12.5,12.6,12.8,12.8,11.5,10.1,9.8,9.4,9,7.8,8.2,8.6,8.3
Montana,13.2,15.7,12.8,12,11.2,11.4,11.7,11.3,11.1,11,11,10,9,8.2,8.2,8.2,7.9
Nebraska,15.5,13.8,10.7,10.7,8.4,7.6,7.1,8.1,7.4,6.8,7.1,7,6.8,6.5,6.2,5.9,6.1
Nevada,37.2,40.4,38.4,30.1,25.8,25.5,25.3,23.8,23.3,22.9,21.8,19.5,17.2,19.3,17.9,16.5,16.5
New Hampshire,21.9,16.9,17.5,14.9,11.5,11.4,11.5,11.1,11.2,11.4,11.6,10.6,9.6,10.3,10.2,9.9,9.6
New Jersey,36,32.1,35.4,36.4,33.8,32.7,31.6,31.2,29.8,28.3,27,26,25.4,25.9,27,28.2,28
New Mexico,23.4,21.4,16.8,17.6,16.9,17.7,18.5,17,16.2,15.3,13.8,12.1,10.4,10.1,10.3,10.6,9.6
