year,abortion_count,abortion_rate
1973,744610,16.3
1974,898570,19.3
1975,1034170,21.7
1976,1179300,24.2
1977,1316700,26.4
1978,1409600,27.7
1979,1497670,28.8
1980,1553890,29.3
1981,1577340,29.3
1982,1573920,28.8
1984,1577180,28.1
1985,1588550,28
1987,1559110,26.9
1988,1590750,27.3
1991,1556510,26.3
1992,1528930,25.7
1995,1359440,22.5
1996,1360160,22.4
1999,1314780,21.4
2000,1312990,21.3
2004,1222100,19.7
2005,1206200,19.4
2007,1209640,19.5
2008,1212350,19.4
2010,1102670,17.7
2011,1058490,16.9
2013,958700,15.2
2014,926190,14.6
2016,874080,13.7
2017,862320,13.5
