agency,date,id5,id4,metro,uza,uza_name,value,count,last,indexed,value_ave,last_rank,indexed_ave
Chicago Transit Authority,1/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24357175,120,19482386,0.010474601,25442175.33,3,0
Chicago Transit Authority,2/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22814156,120,19482386,-0.053538631,25334631,3,-0.00422701
Chicago Transit Authority,3/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",27490595,120,19482386,0.140466742,25386695.33,3,-0.002180631
Chicago Transit Authority,4/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25503893,120,19482386,0.058047007,25346416.58,3,-0.00376378
Chicago Transit Authority,5/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26444011,120,19482386,0.097048466,25406009.25,3,-0.001421501
Chicago Transit Authority,6/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26104841,120,19482386,0.082977759,25463441.83,3,8.36E-04
Chicago Transit Authority,7/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25089027,120,19482386,0.040835998,25462162.33,3,7.86E-04
Chicago Transit Authority,8/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26758978,120,19482386,0.110115095,25552762,3,0.004346588
Chicago Transit Authority,9/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",27358226,120,19482386,0.134975321,25601127.5,3,0.006247586
Chicago Transit Authority,10/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",27681086,120,19482386,0.148369396,25639135.08,3,0.007741467
Chicago Transit Authority,11/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25820762,120,19482386,0.071192541,25689725.67,3,0.00972992
Chicago Transit Authority,12/1/11,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24950312,120,19482386,0.035081309,25864421.83,3,0.016596321
Chicago Transit Authority,1/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24678858,120,19482386,0.023819848,25891228.75,3,0.017649962
Chicago Transit Authority,2/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25891780,120,19482386,0.074138773,26147697.42,3,0.027730415
Chicago Transit Authority,3/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",27916601,120,19482386,0.158139902,26183197.92,3,0.029125756
Chicago Transit Authority,4/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25673943,120,19482386,0.065101652,26197368.75,3,0.029682738
Chicago Transit Authority,5/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",27200193,120,19482386,0.12841921,26260383.92,3,0.032159537
Chicago Transit Authority,6/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25928423,120,19482386,0.075658934,26245682.42,3,0.031581697
Chicago Transit Authority,7/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25133850,120,19482386,0.042695512,26249417.67,3,0.031728511
Chicago Transit Authority,8/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26904559,120,19482386,0.116154625,26261549.42,3,0.032205347
Chicago Transit Authority,9/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26479604,120,19482386,0.098525067,26188330.92,3,0.029327507
Chicago Transit Authority,10/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",28893007,120,19482386,0.198646794,26289324.33,3,0.033297035
Chicago Transit Authority,11/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26017156,120,19482386,0.079340085,26305690.5,3,0.033940304
Chicago Transit Authority,12/1/12,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",23705604,120,19482386,-0.016556282,26201964.83,3,0.029863386
Chicago Transit Authority,1/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24676639,120,19482386,0.023727791,26201779.92,3,0.029856118
Chicago Transit Authority,2/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",23653940,120,19482386,-0.018699599,26015293.25,3,0.022526294
Chicago Transit Authority,3/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25632565,120,19482386,0.063385056,25824956.92,3,0.015045159
Chicago Transit Authority,4/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25820983,120,19482386,0.07120171,25837210.25,3,0.015526774
Chicago Transit Authority,5/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26855595,120,19482386,0.114123319,25808493.75,3,0.014398078
Chicago Transit Authority,6/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25077758,120,19482386,0.040368496,25737605,3,0.011611808
Chicago Transit Authority,7/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25001394,120,19482386,0.037200481,25726567,3,0.011177962
Chicago Transit Authority,8/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25395068,120,19482386,0.053532325,25600776.08,3,0.006233773
Chicago Transit Authority,9/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",26104377,120,19482386,0.08295851,25569507.17,3,0.005004754
Chicago Transit Authority,10/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",27333097,120,19482386,0.133932827,25439514.67,3,-1.05E-04
Chicago Transit Authority,11/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",23115401,120,19482386,-0.04104127,25197701.75,3,-0.009608989
Chicago Transit Authority,12/1/13,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21449540,120,19482386,-0.110150689,25009696.42,3,-0.016998504
Chicago Transit Authority,1/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",20556420,120,19482386,-0.147202403,24666344.83,3,-0.030493874
Chicago Transit Authority,2/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21759993,120,19482386,-0.097271327,24508515.92,3,-0.036697311
Chicago Transit Authority,3/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24607093,120,19482386,0.020842626,24423059.92,3,-0.040056143
Chicago Transit Authority,4/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",23918987,120,19482386,-0.007703937,24264560.25,3,-0.046285943
Chicago Transit Authority,5/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24551161,120,19482386,0.018522248,24072524.08,3,-0.053833889
Chicago Transit Authority,6/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22390364,120,19482386,-0.071119941,23848574.58,3,-0.062636183
Chicago Transit Authority,7/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22615198,120,19482386,-0.061792544,23649724.92,3,-0.070451932
Chicago Transit Authority,8/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22214609,120,19482386,-0.078411262,23384686.67,3,-0.080869212
Chicago Transit Authority,9/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24434847,120,19482386,0.013696879,23245559.17,3,-0.086337593
Chicago Transit Authority,10/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25638174,120,19482386,0.063617749,23104315.58,3,-0.091889145
Chicago Transit Authority,11/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21484661,120,19482386,-0.10869367,22968420.58,3,-0.097230473
Chicago Transit Authority,12/1/14,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21945250,120,19482386,-0.08958581,23009729.75,3,-0.095606824
Chicago Transit Authority,1/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21404075,120,19482386,-0.112036837,23080367.67,3,-0.092830414
Chicago Transit Authority,2/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",20973492,120,19482386,-0.129899877,23014825.92,3,-0.09540652
Chicago Transit Authority,3/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",24520857,120,19482386,0.017265065,23007639.58,3,-0.095688978
Chicago Transit Authority,4/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",23515670,120,19482386,-0.024435828,22974029.83,3,-0.097010003
Chicago Transit Authority,5/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",23615579,120,19482386,-0.020291032,22896064.67,3,-0.100074409
Chicago Transit Authority,6/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",23206110,120,19482386,-0.037278143,22964043.5,3,-0.097402514
Chicago Transit Authority,7/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22901147,120,19482386,-0.049929748,22987872.58,3,-0.096465916
Chicago Transit Authority,8/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22218099,120,19482386,-0.078266477,22988163.42,3,-0.096454485
Chicago Transit Authority,9/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",23886542,120,19482386,-0.009049941,22942471.33,3,-0.098250404
Chicago Transit Authority,10/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",25047870,120,19482386,0.039128571,22893279.33,3,-0.100183886
Chicago Transit Authority,11/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21655512,120,19482386,-0.101605796,22907516.92,3,-0.099624281
Chicago Transit Authority,12/1/15,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21343813,120,19482386,-0.114536849,22857397.17,3,-0.101594228
Chicago Transit Authority,1/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",20751114,120,19482386,-0.139125385,22802983.75,3,-0.103732937
Chicago Transit Authority,2/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21466849,120,19482386,-0.109432613,22844096.83,3,-0.102116995
Chicago Transit Authority,3/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",23340888,120,19482386,-0.031686782,22745766.08,3,-0.105981867
Chicago Transit Authority,4/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21708284,120,19482386,-0.099416512,22595150.58,3,-0.111901782
Chicago Transit Authority,5/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22222368,120,19482386,-0.078089374,22479049.67,3,-0.116465107
Chicago Transit Authority,6/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21700741,120,19482386,-0.099729439,22353602.25,3,-0.121395794
Chicago Transit Authority,7/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",20368118,120,19482386,-0.155014245,22142516.5,3,-0.129692481
Chicago Transit Authority,8/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21419471,120,19482386,-0.111398123,22075964.17,3,-0.132308308
Chicago Transit Authority,9/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22702660,120,19482386,-0.058164121,21977307.33,3,-0.136185996
Chicago Transit Authority,10/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22961412,120,19482386,-0.047429612,21803435.83,3,-0.143019984
Chicago Transit Authority,11/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21083500,120,19482386,-0.125336117,21755768.17,3,-0.144893552
Chicago Transit Authority,12/1/16,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",19333035,120,19482386,-0.197955394,21588203.33,3,-0.151479657
Chicago Transit Authority,1/1/17,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",19570749,120,19482386,-0.18809366,21489839.58,3,-0.155345826
Chicago Transit Authority,2/1/17,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",19900788,120,19482386,-0.17440176,21359334.5,3,-0.160475304
Chicago Transit Authority,3/1/17,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",22122473,120,19482386,-0.082233589,21257799.92,3,-0.164466103
Chicago Transit Authority,4/1/17,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",20111450,120,19482386,-0.165662298,21124730.42,3,-0.169696375
Chicago Transit Authority,5/1/17,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21934061,120,19482386,-0.090049994,21100704.83,3,-0.170640696
Chicago Transit Authority,6/1/17,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",21076518,120,19482386,-0.12562577,21048686.25,3,-0.172685277
Chicago Transit Authority,7/1/17,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",19785002,120,19482386,-0.179205223,21000093.25,3,-0.174595215
Chicago Transit Authority,8/1/17,50066,5066,"Chicago, IL-IN",3,"Chicago, IL-IN",20878045,120,19482386,-0.133859563,20954974.42,3,-0.176368603
